-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 08/01/2023 
Location: Latitude  35.0382   Longitude 9.4849 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 408.34 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
2017,3,10,15.54,25.4,8.43,47.94,0.0,7.93,10.85,5.13
2017,3,11,13.04,21.17,7.25,57.69,0.01,5.88,8.77,2.38
2017,3,12,14.54,24.01,6.17,41.56,0.0,4.65,7.06,2.34
2017,3,13,16.19,23.96,8.87,32.5,0.0,4.21,7.62,1.78
2017,3,14,13.07,19.09,9.29,74.5,0.14,6.07,7.83,3.52
2017,3,15,11.8,16.61,7.58,73.25,0.64,6.2,7.57,4.57
2017,3,16,8.81,12.68,5.4,77.62,0.97,7.0,10.37,4.0
2017,3,17,9.9,17.88,3.55,61.12,0.01,3.89,6.23,1.62
2017,3,18,12.4,22.38,3.85,39.75,0.0,3.07,4.2,2.01
2017,3,19,13.95,23.55,6.68,37.69,0.0,2.78,3.81,0.5
2017,3,20,13.38,20.32,8.71,53.12,13.2,2.51,4.88,1.04
2017,3,21,12.87,18.98,8.55,70.56,9.21,7.31,10.78,3.73
2017,3,22,14.23,22.8,6.0,62.88,0.01,2.84,4.67,0.81
2017,3,23,14.63,22.59,8.12,58.44,0.0,4.16,5.76,2.66
2017,3,24,14.21,21.26,9.01,73.38,0.05,4.94,8.22,1.88
2017,3,25,16.01,25.65,10.06,70.69,0.1,2.52,6.0,0.57
2017,3,26,14.94,24.39,8.9,62.0,0.0,2.43,3.81,0.54
2017,3,27,16.13,25.33,8.1,57.44,0.0,1.94,3.47,0.04
2017,3,28,14.3,21.68,8.56,61.5,0.12,4.15,5.88,1.6
2017,3,29,11.94,17.44,7.52,67.25,0.33,3.83,6.11,1.91
2017,3,30,12.16,20.44,4.55,60.94,0.05,3.46,5.73,1.58
2017,3,31,15.01,23.09,6.48,45.12,0.0,4.46,6.52,0.77
2017,4,1,16.38,23.33,10.58,41.12,3.25,6.97,10.62,3.21
2017,4,2,13.71,19.84,7.95,57.62,1.06,4.66,6.44,2.59
2017,4,3,12.39,19.72,5.36,63.38,0.51,4.67,7.1,2.63
2017,4,4,12.72,18.87,7.94,68.06,0.66,4.93,8.12,3.16
2017,4,5,14.7,22.45,7.4,58.75,0.0,3.1,5.99,0.24
2017,4,6,15.14,21.77,7.91,49.38,0.24,3.98,6.26,1.87
2017,4,7,12.9,18.04,9.65,71.69,1.7,5.02,7.12,1.7
2017,4,8,12.86,17.17,10.19,74.44,3.93,7.27,9.71,5.68
2017,4,9,11.81,16.05,9.08,75.44,7.55,7.73,10.23,3.87
2017,4,10,13.12,19.77,7.9,70.62,0.08,5.02,7.35,0.97
2017,4,11,14.16,21.15,7.27,66.5,0.65,2.07,3.15,0.84
2017,4,12,14.85,21.37,8.74,58.44,0.9,3.84,5.81,2.15
2017,4,13,16.51,25.23,8.46,52.19,0.0,3.51,4.59,1.49
2017,4,14,19.12,28.24,11.08,41.38,0.0,3.06,5.59,1.18
2017,4,15,21.27,30.0,14.73,40.75,0.0,2.83,5.06,1.8
2017,4,16,19.13,26.85,11.3,48.38,0.0,4.93,9.01,0.73
2017,4,17,17.12,28.08,6.7,48.25,0.0,3.38,5.71,1.71
2017,4,18,20.4,29.62,11.47,47.06,0.0,3.59,6.91,1.72
2017,4,19,18.74,27.31,12.84,51.06,0.0,3.03,5.99,1.04
2017,4,20,11.13,13.65,9.08,68.0,0.0,5.63,7.74,3.29
2017,4,21,10.9,16.64,6.3,56.69,0.0,5.53,7.35,3.02
2017,4,22,10.75,18.68,3.13,55.75,0.0,3.91,6.48,2.38
2017,4,23,13.51,23.08,4.4,49.19,0.0,3.83,5.2,2.75
2017,4,24,15.68,24.75,8.2,46.56,0.0,2.77,4.98,0.79
2017,4,25,17.44,26.44,9.02,60.56,0.0,3.57,6.09,1.33
2017,4,26,19.86,29.56,11.26,56.25,0.0,2.39,4.56,0.08
2017,4,27,21.25,29.64,15.25,46.81,0.0,3.89,7.2,0.14
2017,4,28,21.01,31.81,13.72,52.5,0.0,4.47,8.3,1.52
2017,4,29,17.83,27.62,10.26,54.75,0.2,5.08,8.8,0.92
2017,4,30,17.15,25.05,10.83,67.0,0.8,1.86,3.3,0.98
2017,5,1,20.11,28.7,13.54,61.81,13.55,2.34,5.59,0.42
2017,5,2,17.55,22.3,13.62,68.5,4.25,2.72,4.95,1.11
2017,5,3,18.05,26.38,9.91,61.0,0.23,3.05,5.16,1.25
2017,5,4,21.87,30.43,13.35,49.19,0.03,2.98,4.22,1.94
2017,5,5,25.23,33.75,16.55,43.5,0.01,4.38,6.26,2.64
2017,5,6,27.15,35.62,19.4,37.38,0.0,3.0,5.76,1.53
2017,5,7,20.93,28.46,14.73,46.5,0.0,5.04,7.58,3.22
2017,5,8,18.93,26.76,12.46,41.56,0.0,6.17,9.12,2.46
2017,5,9,20.66,30.68,10.58,45.88,0.0,3.54,5.12,2.43
2017,5,10,18.97,24.29,14.27,58.25,0.2,2.57,4.05,0.49
2017,5,11,26.83,36.72,17.26,38.06,0.0,6.77,12.73,2.05
2017,5,12,25.27,38.04,16.73,38.88,0.05,5.69,10.16,2.67
2017,5,13,22.38,30.01,16.26,45.69,0.01,4.18,6.02,2.49
2017,5,14,21.96,27.65,16.62,42.19,0.17,4.64,6.41,2.15
2017,5,15,19.46,23.69,14.8,54.44,0.21,5.45,8.55,2.59
2017,5,16,20.1,27.84,12.48,47.69,0.0,4.55,7.18,2.26
2017,5,17,20.05,27.51,12.48,49.69,0.0,3.56,5.55,2.05
2017,5,18,21.64,29.73,13.13,50.56,0.0,4.05,5.6,2.02
2017,5,19,24.51,33.51,15.98,42.06,0.0,2.87,6.02,0.47
2017,5,20,22.52,31.26,15.11,51.19,0.0,2.6,4.3,0.74
2017,5,21,20.73,29.31,13.25,39.31,0.0,4.97,7.32,2.52
2017,5,22,20.47,28.55,12.33,44.38,0.0,1.31,2.56,0.09
2017,5,23,22.47,30.55,14.98,50.94,0.14,2.59,4.23,1.66
2017,5,24,23.12,30.58,16.69,46.81,0.0,2.63,4.88,0.44
2017,5,25,25.56,33.94,15.89,45.81,0.01,1.88,2.79,0.27
2017,5,26,26.05,35.01,18.07,41.62,0.06,3.34,5.55,1.18
2017,5,27,22.08,30.41,15.83,53.56,0.82,2.89,7.38,0.35
2017,5,28,21.37,28.92,15.28,53.0,0.01,4.04,5.96,2.14
2017,5,29,19.74,27.44,12.45,58.06,0.0,4.31,7.16,1.62
2017,5,30,20.46,28.21,13.23,59.69,0.0,4.16,6.29,1.53
2017,5,31,21.53,28.71,15.69,59.31,0.16,3.82,5.21,1.63
2017,6,1,22.79,31.33,15.37,54.19,0.03,2.86,5.02,0.88
2017,6,2,24.19,31.21,17.33,44.38,0.02,3.5,5.07,0.5
2017,6,3,26.36,35.35,18.65,46.0,0.01,1.95,5.66,0.61
2017,6,4,25.65,32.81,18.61,40.06,0.01,3.09,5.47,0.97
2017,6,5,23.58,29.9,17.91,42.88,1.54,3.7,6.44,1.77
2017,6,6,21.67,26.87,16.98,54.62,2.56,4.14,6.01,2.52
2017,6,7,22.81,30.76,14.75,50.19,0.01,4.78,6.88,2.05
2017,6,8,24.1,33.55,14.56,44.88,0.01,2.81,5.21,0.91
2017,6,9,26.99,36.07,16.39,44.19,0.0,4.3,6.13,2.0
2017,6,10,27.24,34.57,20.62,41.06,0.01,3.84,5.62,2.39
2017,6,11,25.83,34.12,18.33,44.31,0.0,3.41,6.27,1.61
2017,6,12,23.71,30.64,17.09,44.38,0.0,4.73,6.83,1.88
2017,6,13,23.33,31.08,16.92,50.0,0.0,3.26,6.16,0.35
2017,6,14,25.37,35.48,17.09,41.12,0.0,2.73,4.36,1.34
2017,6,15,29.01,39.71,19.66,34.69,0.0,2.46,5.27,1.34
2017,6,16,28.74,37.14,20.49,35.12,0.0,3.38,5.88,0.8
2017,6,17,30.5,38.31,22.15,33.25,0.0,1.59,3.11,0.19
2017,6,18,27.77,33.44,22.77,37.56,0.0,3.25,4.47,1.08
2017,6,19,25.33,31.59,20.23,56.31,0.0,4.73,6.5,2.87
2017,6,20,24.35,32.12,16.97,50.88,0.0,3.59,7.09,1.22
2017,6,21,26.26,34.26,18.13,49.56,1.26,2.84,4.98,0.84
2017,6,22,26.82,32.98,21.14,48.06,0.5,2.5,3.87,0.99
2017,6,23,26.58,33.7,19.83,39.69,0.0,3.06,4.91,0.81
2017,6,24,27.55,34.9,20.69,34.19,0.0,2.54,4.09,0.95
2017,6,25,29.37,37.28,21.63,31.38,0.0,2.54,5.34,1.15
2017,6,26,31.35,40.33,21.85,28.88,0.0,3.37,4.61,2.41
2017,6,27,31.69,41.17,25.66,31.94,0.0,5.16,11.59,1.12
2017,6,28,33.65,42.22,25.56,25.88,0.0,5.73,10.3,1.88
2017,6,29,30.62,40.87,21.53,29.75,0.0,4.37,7.77,1.62
2017,6,30,30.72,42.91,20.72,39.44,0.0,5.35,11.09,1.16
2017,7,1,26.15,34.07,19.4,40.62,0.0,7.54,9.73,5.22
2017,7,2,24.01,30.7,18.03,43.75,0.01,7.16,9.52,5.51
2017,7,3,24.08,31.23,16.58,49.0,0.01,5.44,8.15,2.47
2017,7,4,24.73,31.98,17.3,44.75,0.0,2.77,4.48,1.18
2017,7,5,26.29,34.62,18.8,44.88,0.0,2.9,6.31,0.55
2017,7,6,26.65,35.12,19.42,37.06,0.0,3.21,6.12,1.16
2017,7,7,26.93,35.19,19.55,33.88,0.0,3.44,6.02,1.05
2017,7,8,27.69,36.15,19.36,35.5,0.0,3.28,5.1,2.09
2017,7,9,28.37,36.42,21.72,28.69,0.0,3.21,5.33,1.5
2017,7,10,29.48,38.9,21.31,28.56,0.0,2.28,4.16,0.95
2017,7,11,31.96,42.42,21.36,27.69,0.0,3.05,4.98,1.86
2017,7,12,35.25,44.95,25.4,19.25,0.0,3.41,5.76,0.71
2017,7,13,33.45,41.92,25.08,22.75,0.0,5.13,8.54,2.46
2017,7,14,32.51,41.58,23.82,26.88,0.0,3.59,7.29,1.52
2017,7,15,30.84,39.88,22.37,31.12,0.0,4.27,7.2,1.59
2017,7,16,27.38,34.31,20.37,36.5,0.0,6.8,10.59,1.75
2017,7,17,25.95,32.23,20.07,45.69,0.0,5.16,6.53,3.26
2017,7,18,26.66,34.42,19.04,45.44,0.0,3.23,7.21,0.81
2017,7,19,29.26,38.54,20.04,42.94,0.0,3.47,4.59,2.17
2017,7,20,31.61,41.45,22.48,37.19,0.0,2.61,5.35,1.27
2017,7,21,30.62,40.34,21.77,47.0,0.07,2.92,5.78,0.22
2017,7,22,32.74,42.01,24.38,34.0,0.02,3.27,5.5,1.29
2017,7,23,35.97,44.31,27.72,24.56,0.04,3.45,6.03,1.63
2017,7,24,35.15,44.18,27.51,29.56,0.09,4.34,8.22,0.77
2017,7,25,29.66,37.11,22.55,38.38,0.0,4.62,6.72,2.9
2017,7,26,28.1,34.69,22.58,48.44,2.37,2.64,3.62,0.94
2017,7,27,27.22,34.64,20.3,41.38,0.0,3.05,5.54,0.79
2017,7,28,28.73,37.01,21.12,38.38,0.0,2.32,4.5,0.25
2017,7,29,30.18,38.55,22.36,37.44,0.0,2.84,6.11,1.22
2017,7,30,30.85,39.2,22.62,37.25,0.0,3.8,7.73,1.76
2017,7,31,30.05,38.78,22.62,38.81,0.0,3.91,7.14,1.67
2017,8,1,29.55,37.94,21.98,36.5,0.0,3.17,5.39,1.49
2017,8,2,30.2,37.59,23.55,28.94,0.0,2.7,4.78,0.56
2017,8,3,31.87,39.66,24.9,24.75,0.01,2.34,4.61,0.85
2017,8,4,32.79,40.76,24.87,23.94,0.0,2.18,2.92,0.45
2017,8,5,34.15,42.47,25.86,20.5,0.0,3.37,5.68,0.7
2017,8,6,34.1,42.1,27.1,20.88,0.0,2.28,3.98,1.06
2017,8,7,34.27,42.37,27.28,20.38,0.0,2.76,4.91,0.73
2017,8,8,33.63,42.05,26.53,24.69,0.0,3.93,7.3,1.38
2017,8,9,34.7,42.79,28.02,22.56,0.0,3.55,6.64,0.91
2017,8,10,34.38,43.78,26.62,28.62,0.06,3.42,8.39,0.14
2017,8,11,29.17,36.44,23.69,40.31,0.01,5.46,8.21,3.07
2017,8,12,27.3,35.25,20.91,40.12,0.02,4.37,5.58,2.41
2017,8,13,26.9,35.26,19.9,40.25,0.02,3.37,5.03,1.61
2017,8,14,28.38,37.86,20.4,47.06,0.0,3.54,6.61,1.48
2017,8,15,28.58,36.93,21.06,47.38,0.0,2.95,5.61,0.66
2017,8,16,29.83,38.4,21.94,43.19,0.02,2.94,6.35,1.02
2017,8,17,28.92,36.33,22.26,32.25,0.32,2.98,5.33,1.36
2017,8,18,29.48,36.35,23.06,34.0,0.0,2.37,4.19,0.57
2017,8,19,30.44,38.55,22.49,39.19,0.0,2.36,4.76,1.2
2017,8,20,30.71,37.83,23.21,35.31,0.0,2.43,4.84,0.26
2017,8,21,29.19,37.33,22.36,33.81,0.0,3.62,5.49,1.95
2017,8,22,26.51,34.01,20.03,41.88,0.0,3.95,6.05,2.27
2017,8,23,26.19,34.22,18.57,43.69,0.0,3.5,5.11,1.91
2017,8,24,25.9,33.28,18.71,52.44,0.0,3.45,5.95,0.91
2017,8,25,25.98,33.11,20.62,57.75,0.0,3.75,5.77,1.44
2017,8,26,26.38,34.21,19.57,49.69,0.0,2.64,4.65,0.68
2017,8,27,27.01,35.22,19.62,32.38,0.0,2.96,4.81,1.84
2017,8,28,28.94,37.07,21.74,25.69,0.0,2.47,3.66,0.3
2017,8,29,29.94,37.83,23.34,25.06,0.0,2.98,4.95,1.5
2017,8,30,29.93,37.65,23.84,28.31,0.0,2.49,4.88,0.51
2017,8,31,28.37,35.84,22.05,44.88,0.0,2.65,4.84,0.21
2017,9,1,29.03,37.58,21.86,49.0,0.01,2.89,6.25,0.27
2017,9,2,29.22,38.63,21.63,43.94,0.01,4.12,9.5,0.47
2017,9,3,25.16,32.9,19.12,43.25,0.01,5.2,7.7,2.98
2017,9,4,25.26,32.42,18.97,52.25,0.0,2.89,5.79,1.6
2017,9,5,26.23,32.69,20.55,54.19,0.69,2.57,5.99,0.91
2017,9,6,26.23,33.1,20.08,55.38,0.24,2.88,5.97,1.09
2017,9,7,23.14,26.45,19.87,69.81,13.76,2.49,4.13,0.52
2017,9,8,23.74,30.09,18.52,60.12,0.03,4.21,7.3,2.26
2017,9,9,24.91,32.19,18.42,57.44,0.13,5.29,8.02,1.95
2017,9,10,25.55,35.04,16.51,40.19,0.67,9.01,14.23,2.87
2017,9,11,21.58,29.73,14.74,43.5,0.01,5.2,8.25,1.62
2017,9,12,24.4,33.19,16.64,31.5,0.0,3.97,5.8,2.23
2017,9,13,24.36,32.01,18.12,44.88,0.0,4.38,6.41,2.22
2017,9,14,24.83,33.93,17.45,50.25,0.0,3.31,6.15,0.24
2017,9,15,27.05,36.05,19.62,34.0,0.0,3.66,6.88,0.7
2017,9,16,29.3,37.77,23.51,26.44,0.0,3.41,7.13,0.83
2017,9,17,25.79,32.73,20.43,46.31,0.0,5.15,7.84,2.8
2017,9,18,23.62,31.37,16.69,45.19,0.0,2.92,4.02,1.45
2017,9,19,22.95,29.43,17.79,48.12,0.02,5.86,9.07,3.12
2017,9,20,20.56,27.24,14.49,53.44,0.07,3.41,4.6,1.96
2017,9,21,20.13,27.59,13.51,53.56,0.0,2.77,4.73,1.46
2017,9,22,21.69,28.94,15.85,63.75,0.0,2.78,4.09,1.13
2017,9,23,23.14,30.17,17.32,59.19,2.94,1.29,2.98,0.59
2017,9,24,23.08,28.48,18.9,60.12,0.84,3.59,4.96,2.12
2017,9,25,22.05,30.23,14.9,53.25,0.0,2.51,4.53,0.45
2017,9,26,22.77,29.87,16.45,59.5,0.06,2.18,3.58,0.48
2017,9,27,22.31,27.69,17.96,64.5,0.61,2.66,4.34,1.41
2017,9,28,20.6,27.44,15.24,62.5,0.22,3.77,4.91,2.24
2017,9,29,19.8,26.82,14.07,57.94,0.0,2.8,3.72,1.95
2017,9,30,20.44,28.01,13.87,57.12,0.0,1.69,3.09,0.17
2017,10,1,21.12,27.3,15.16,59.62,0.05,2.05,3.97,0.68
2017,10,2,17.21,18.51,15.33,84.44,14.93,2.51,3.46,1.23
2017,10,3,18.29,24.05,13.36,76.38,1.18,4.39,6.05,2.02
2017,10,4,18.72,22.78,15.41,85.75,28.2,5.98,7.62,4.49
2017,10,5,19.62,24.58,16.14,76.06,4.92,5.69,7.74,2.98
2017,10,6,19.96,28.55,13.64,66.12,0.04,4.13,5.33,2.98
2017,10,7,18.51,25.16,13.3,64.94,0.06,5.41,8.55,2.98
2017,10,8,17.62,25.62,10.37,61.31,0.0,2.37,3.83,0.2
2017,10,9,19.21,27.34,12.23,53.81,0.0,2.32,3.4,1.34
2017,10,10,19.97,27.64,13.16,56.31,0.0,2.05,3.0,0.24
2017,10,11,20.5,27.93,15.62,68.38,0.14,1.91,3.15,0.88
2017,10,12,19.21,25.8,14.7,71.88,0.48,2.19,3.8,1.23
2017,10,13,18.29,25.39,12.06,60.56,0.0,1.98,2.76,0.18
2017,10,14,17.84,24.83,11.51,60.12,0.0,2.29,3.12,0.86
2017,10,15,17.07,23.06,12.31,74.31,0.01,2.08,2.55,1.73
2017,10,16,17.77,24.51,12.44,70.31,0.0,2.25,3.27,1.11
2017,10,17,17.98,24.7,12.62,69.38,0.0,2.58,3.2,1.86
2017,10,18,18.12,25.09,12.38,63.44,0.02,3.01,3.94,2.12
2017,10,19,18.65,25.79,12.26,55.06,0.0,3.77,6.17,2.13
2017,10,20,18.05,22.18,15.89,67.75,10.17,2.11,4.58,0.66
2017,10,21,18.53,24.59,14.84,73.44,0.49,5.8,8.92,2.41
2017,10,22,19.16,25.8,12.9,69.06,0.08,2.06,4.7,0.27
2017,10,23,17.47,23.48,12.83,68.69,0.2,5.73,8.53,3.51
2017,10,24,15.72,21.99,11.65,67.0,0.19,5.84,9.7,3.62
2017,10,25,15.15,22.64,10.69,61.56,0.01,5.85,9.2,3.67
2017,10,26,15.65,23.06,9.41,60.12,0.0,3.84,6.07,0.43
2017,10,27,17.37,26.92,9.89,43.94,0.0,2.65,4.98,1.13
2017,10,28,17.0,23.81,12.48,68.44,0.02,6.25,10.83,2.94
2017,10,29,16.3,24.87,9.91,67.12,0.02,3.67,4.92,2.8
2017,10,30,16.62,24.69,9.95,54.12,0.0,2.95,4.06,1.41
2017,10,31,16.61,24.73,10.06,56.06,0.0,2.83,3.41,1.28
2017,11,1,16.37,23.58,10.48,62.06,0.0,2.9,5.47,1.92
2017,11,2,16.9,23.62,12.59,70.94,0.11,3.17,4.63,1.09
2017,11,3,18.99,29.3,12.37,41.0,0.0,4.25,6.19,2.37
2017,11,4,19.69,29.18,13.46,30.62,0.0,3.66,5.33,0.6
2017,11,5,19.26,28.26,14.33,33.12,0.02,4.55,5.99,3.08
2017,11,6,14.94,22.01,8.99,68.19,0.11,4.79,7.86,3.18
2017,11,7,11.23,18.51,5.65,58.69,0.0,3.71,5.46,2.34
2017,11,8,12.37,20.27,5.87,56.75,0.0,3.73,5.56,2.02
2017,11,9,13.58,20.23,7.69,47.81,0.79,3.91,5.98,2.37
2017,11,10,11.03,12.88,9.67,82.69,18.79,6.11,7.75,4.47
2017,11,11,12.65,16.89,10.03,76.44,5.26,10.45,12.68,7.88
2017,11,12,13.62,19.64,10.23,76.25,0.57,7.78,10.66,3.3
2017,11,13,12.59,20.75,7.49,73.12,5.78,5.23,8.38,2.29
2017,11,14,8.98,13.62,5.32,75.75,2.53,4.87,8.71,1.78
2017,11,15,9.76,13.37,6.08,78.62,3.3,6.05,8.59,3.41
2017,11,16,12.05,17.45,7.81,76.88,2.01,4.62,6.94,2.79
2017,11,17,11.0,17.47,6.9,77.25,0.09,4.44,6.75,3.0
2017,11,18,10.7,18.81,5.64,72.56,0.01,3.9,5.67,2.27
2017,11,19,10.4,17.6,5.73,75.81,0.03,3.96,5.93,2.84
2017,11,20,10.96,18.26,4.98,67.31,0.0,2.95,5.29,0.33
2017,11,21,11.75,20.39,5.87,45.19,0.0,2.56,3.65,1.62
2017,11,22,11.42,18.98,6.83,47.25,0.11,3.12,5.2,1.88
2017,11,23,12.3,19.24,6.72,58.12,0.03,2.59,3.54,0.27
2017,11,24,12.54,19.3,7.17,62.44,0.0,2.58,4.67,0.64
2017,11,25,12.52,21.65,6.24,49.44,0.0,3.47,5.27,2.31
2017,11,26,12.25,17.46,8.15,61.0,0.57,4.59,5.85,2.67
2017,11,27,8.14,14.57,4.1,73.62,0.03,5.17,9.15,3.12
